Source,Order,Family,Genus,Species,Namelist,Include_hybpiper,filename
1kp,Laurales,Lauraceae,Sassafras,albidum,ABSS,0,
1kp,Laurales,Lauraceae,Cinnamomum,camphora,BCGB,0,
1kp,Piperales,Saururaceae,Houttuynia,cordata,CSSK,0,
1kp,Laurales,Lauraceae,Lindera,benzoin,KAYP,0,
1kp,Magnoliales,Myristicaceae,Myristica,fragrans,OBPL,0,
1kp,Piperales,Saururaceae,Saururus,cernuus,OPDF,0,
1kp,Chloranthales,Chloranthaceae,Sarcandra,glabra,OSHQ,0,
1kp,Piperales,Aristolochiaceae,Aristolochia,littoralis,PAWA,0,
1kp,Magnoliales,Annonaceae,Uvaria,microcarpa,PSJT,0,
1kp,Piperales,Aristolochiaceae,Saruma,henryi,QDVW,0,
1kp,Laurales,Lauraceae,Cassytha,filiformis,VYLQ,0,
1kp,Laurales,Lauraceae,Persea,borbonia,WIGA,0,
1kp,Canellales,Winteraceae,Drimys,winteri,WKSU,0,
1kp,Chloranthales,Chloranthaceae,Ascarina,rubricaulis,WZFE,0,
1kp,Magnoliales,Annonaceae,Annona,muricata,YZRI,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,sphaerantha,P_011467,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,heteranthera,P_011469,0,
PAFTOL,Laurales,Monimiaceae,Tambourissa,tau,P_011471,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,pachysandra,P_011473,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,triflora,P_011477,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,puberula,P_011483,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,glabra,P_011485,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,schottiana,P_011487,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,stenophylla,P_011497,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,argyrogyna,P_011503,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,gilgiana,P_011507,0,
PAFTOL,Laurales,Monimiaceae,Tambourissa,amplifolia,P_011509,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,uleana,P_011511,0,
PAFTOL,Laurales,Monimiaceae,Mollinedia,dolichotricha,P_011523,0,
PAFTOL,Laurales,Monimiaceae,Hedycarya,dorstenioides,P_011525,0,
PAFTOL,Magnoliales,Annonaceae,Xylopia,hypolampra,P_012937,0,
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,delavayi,P0110B,0,
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,zenii,P0206H,0,
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,officinalis,P0207A,0,
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,nitida,P0207C,0,
SMDO,Magnoliales,Myristicaceae,Virola,marlenei,S30,0,
GAP,Laurales,Monimiaceae,Wilkiea,angustifolia,GAP_79789,1,GAP_79789_R1.fastq.gz
GAP,Laurales,Lauraceae,Cinnamomum,camphora,GAP_79790,1,GAP_79790_R1.fastq.gz
GAP,Piperales,Piperaceae,Piper,hederaceum,GAP_79804,1,GAP_79804_R1.fastq.gz
GAP,Laurales,Hernandiaceae,Gyrocarpus,americanus,GAP_79862,1,GAP_79862_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Huberantha,nitidissima,GAP_80291,1,GAP_80291_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Mitrephora,diversifolia,GAP_80292,1,GAP_80292_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Polyalthia,johnsonii,GAP_80293,1,GAP_80293_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Pseuduvaria,froggattii,GAP_80294,1,GAP_80294_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Uvaria,holtzei,GAP_80295,1,GAP_80295_R1.fastq.gz
GAP,Laurales,Atherospermataceae,Daphnandra,micrantha,GAP_80297,1,GAP_80297_R1.fastq.gz
GAP,Laurales,Atherospermataceae,Doryphora,sassafras,GAP_80298,1,GAP_80298_R1.fastq.gz
GAP,Magnoliales,Eupomatiaceae,Eupomatia,laurina,GAP_80322,1,GAP_80322_R1.fastq.gz
GAP,Laurales,Lauraceae,Endiandra,glauca,GAP_80388,1,GAP_80388_R1.fastq.gz
GAP,Laurales,Lauraceae,Lindera,queenslandica,GAP_80389,1,GAP_80389_R1.fastq.gz
GAP,Laurales,Lauraceae,Litsea,glutinosa,GAP_80390,1,GAP_80390_R1.fastq.gz
GAP,Laurales,Monimiaceae,Austromatthaea,elegans,GAP_80392,1,GAP_80392_R1.fastq.gz
GAP,Laurales,Monimiaceae,Hedycarya,angustifolia,GAP_80393,1,GAP_80393_R1.fastq.gz
GAP,Laurales,Monimiaceae,Levieria,acuminata,GAP_80394,1,GAP_80394_R1.fastq.gz
GAP,Laurales,Monimiaceae,Palmeria,scandens,GAP_80395,1,GAP_80395_R1.fastq.gz
GAP,Magnoliales,Myristicaceae,Myristica,insipida,GAP_80397,1,GAP_80397_R1.fastq.gz
GAP,Piperales,Piperaceae,Peperomia,tetraphylla,GAP_80417,1,GAP_80417_R1.fastq.gz
GAP,Magnoliales,Annonaceae,Mitrella,tiwiensis,GAP_81172,1,GAP_81172_R1.fastq.gz
GAP,Canellales,Winteraceae,Bubbia,howeana,GAP_81226,1,GAP_81226_R1.fastq.gz
GAP,Canellales,Winteraceae,Tasmannia,insipida,GAP_81227,1,GAP_81227_R1.fastq.gz
PAFTOL,Magnoliales,Himantandraceae,Galbulimima,belgraveana,Gbel,1,Gbel_R1.fastq.gz
PAFTOL,Canellales,Winteraceae,Zygogynum,crassifolium,P_006410,1,P_006410_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Beilschmiedia,tsangii,P_006411,1,P_006411_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Neolitsea,chui,P_006412,1,P_006412_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Phoebe,lanceolata,P_006413,1,P_006413_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Kibara,coriacea,P_006414,1,P_006414_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Cananga,odorata,P_006415,1,P_006415_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Miliusa,,P_006418,1,P_006418_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Mitrephora,keithii,P_006419,1,P_006419_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Pseuduvaria,beccarii,P_006420,1,P_006420_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Xylopia,amplexicaulis,P_006421,1,P_006421_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Gymnacranthera,farquhariana,P_006422,1,P_006422_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Levieria,montana,P_007782,1,P_007782_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Wilkiea,macrophylla,P_007783,1,P_007783_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Drepananthus,polycarpus,P_007802,1,P_007802_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Kairoa,suberosa,P_007843,1,P_007843_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Steganthera,hirsuta,P_007844,1,P_007844_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Paramyristica,sepicana,P_007845,1,P_007845_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Cyathocalyx,zeylanicus,P_007864,1,P_007864_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Caryodaphnopsis,burgerii,P_008631,1,P_008631_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Litsea,collina,P_008646,1,P_008646_R1.fastq.gz
PAFTOL,Laurales,Hernandiaceae,Hernandia,ovigera,P_008647,1,P_008647_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Macropeplus,dentatus,P_011465,1,P_011465_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Mollinedia,acutissima,P_011475,1,P_011475_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Grazielanthus,arkeocarpus,P_011489,1,P_011489_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Tambourissa,ficus,P_011491,1,P_011491_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Hedycarya,cupulata,P_011493,1,P_011493_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Hedycarya,engleriana,P_011495,1,P_011495_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Macropeplus,friburgensis,P_011499,1,P_011499_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Macrotorus,utriculatus,P_011501,1,P_011501_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Tambourissa,trichopylla,P_011505,1,P_011505_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Mollinedia,oligantha,P_011521,1,P_011521_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Endlicheria,paniculata,P_011551,1,P_011551_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Aiouea,costaricensis,P_011589,1,P_011589_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Mezilaurus,itauba,P_011623,1,P_011623_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Cinnadenia,paniculata,P_011627,1,P_011627_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Systemonodaphne,geminiflora,P_011631,1,P_011631_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Xymalos,monospora,P_011681,1,P_011681_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Steganthera,coopearum,P_011715,1,P_011715_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Hortonia,angustifolia,P_011719,1,P_011719_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Ephippiandra,madagascarensis,P_011735,1,P_011735_R1.fastq.gz
PAFTOL,Laurales,Monimiaceae,Decarydendron,ranomefensis,P_011739,1,P_011739_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Afroguatteria,sp.,P_012791,1,P_012791_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Alphonsea,kinabaluensis,P_012793,1,P_012793_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Anaxagorea,crassipetala,P_012795,1,P_012795_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Annickia,ambigua,P_012797,1,P_012797_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Annona,glabra,P_012799,1,P_012799_R1.fastq.gz
