"","aligner","r","l","i","trimmer","data_type","Normalized_scores","Total_Quartets","Mean_LPP","Mean_QS","Sum_of_scaled_values"
"astral-mafft_r10_l10_i10_b2_0","mafft","10","10","10","gblocks_b2_0","supercontigs",0.944,20611504123,0.909,63.326,0.513
"astral-mafft_r10_l25_i25_b2_0","mafft","10","25","25","gblocks_b2_0","supercontigs",0.944,20592620666,0.909,63.41,0.586
"astral-mafft_r10_l25_i50_b2_0","mafft","10","25","50","gblocks_b2_0","supercontigs",0.945,20239311382,0.91,63.738,0.879
"astral-mafft_r10_l25_i75_b2_0","mafft","10","25","75","gblocks_b2_0","supercontigs",0.95,15302585869,0.902,64.839,0.739
"astral-mafft_r10_l50_i25_b2_0","mafft","10","50","25","gblocks_b2_0","supercontigs",0.946,19371615355,0.909,64.006,1.039
"astral-mafft_r10_l50_i50_b2_0","mafft","10","50","50","gblocks_b2_0","supercontigs",0.951,15644833182,0.918,65.143,2.052
"astral-mafft_r10_l50_i50_b2_d","mafft","10","50","50","gblocks_b2_d","supercontigs",0.953,11081772905,0.886,63.685,-0.993
"astral-mafft_r10_l75_i25_b2_0","mafft","10","75","25","gblocks_b2_0","supercontigs",0.952,12837288686,0.902,65.404,0.89
"astral-mafft_r10_l75_i75_b2_0","mafft","10","75","75","gblocks_b2_0","supercontigs",0.952,1620025305,0.836,70.189,-2.729
"astral-mafft_r25_l50_i50_b2_0","mafft","25","50","50","gblocks_b2_0","supercontigs",0.95,13053322906,0.911,67.013,1.809
"astral-mafft_r50_l50_i50_b2_0","mafft","50","50","50","gblocks_b2_0","supercontigs",0.949,7750821199,0.899,69.499,1.101
"astral-mafftexons_r10_l50_i50_b2_0","mafft","10","50","50","gblocks_b2_0","exons",0.953,15618773731,0.897,63.033,0.245
"astral-magus_r10_l50_i50_b2_0","magus","10","50","50","gblocks_b2_0","supercontigs",0.95,15128892547,0.91,64.726,1.246
"astral-magus_r10_l50_i50_b2_d","magus","10","50","50","gblocks_b2_d","supercontigs",0.951,10327268447,0.885,63.635,-1.45
"astral-magus_r10_l50_i50_trimal_02","magus","10","50","50","trimal_02","supercontigs",0.928,16325430006,0.915,65.445,-1.88
"astral-magus_r10_l50_i50_trimal_auto","magus","10","50","50","trimal_auto","supercontigs",0.949,10756213447,0.898,63.451,-1.193
"astral-magus_r10_l50_i50_trimal_gappyout","magus","10","50","50","trimal_gappyout","supercontigs",0.949,11633854994,0.888,63.086,-1.732
"astral-magusexons_r10_l50_i50_b2_0","magus","10","50","50","gblocks_b2_0","exons",0.95,15689615999,0.885,62.52,-1.122
