"","filenames","mean_lpps","median_lpps","sd_lpps","mean_qss","median_qss","sd_qss"
"1","astral-mafft_r10_l10_i10_b2_0",0.90896265560166,1,0.186362557307662,63.3260416666667,60.135,20.7709621233499
"2","astral-mafft_r10_l25_i25_b2_0",0.909377593360996,1,0.184519721608606,63.409625,60.115,20.8098000997971
"3","astral-mafft_r10_l25_i50_b2_0",0.910165975103734,1,0.182037008153515,63.7380416666667,60.51,20.9855357020302
"4","astral-mafft_r10_l25_i75_b2_0",0.901784232365145,1,0.195715916360965,64.8389166666667,63.91,21.9469613529757
"5","astral-mafft_r10_l50_i25_b2_0",0.909419087136929,1,0.184942768987679,64.0055186721992,62.14,21.0164376897551
"6","astral-mafft_r10_l50_i50_b2_0",0.918091286307054,1,0.162400251330127,65.1433195020747,63.44,21.6647352034359
"7","astral-mafft_r10_l50_i50_b2_d",0.885809128630705,1,0.203928778620513,63.6845416666667,61.605,21.6900191023278
"8","astral-mafft_r10_l75_i25_b2_0",0.901825726141079,1,0.194724128368164,65.4044166666667,64.08,22.0769671449542
"9","astral-mafft_r10_l75_i75_b2_0",0.8355,0.98,0.216144806566935,70.1894957983193,67.54,22.7479028513156
"10","astral-mafft_r25_l50_i50_b2_0",0.911041666666667,1,0.176211165439828,67.0125416666667,66.86,22.2446272907346
"11","astral-mafft_r50_l50_i50_b2_0",0.899285714285714,1,0.181763264351274,69.4991525423729,69.69,22.9816318912549
"12","astral-mafftexons_r10_l50_i50_b2_0",0.896970954356846,1,0.188039100507054,63.0332780082988,62.13,20.5996212859983
"13","astral-magus_r10_l50_i50_b2_0",0.910041493775934,1,0.177530508939804,64.7263485477178,64.6,21.2982777068478
"14","astral-magus_r10_l50_i50_b2_d",0.8850622406639,1,0.199455760199161,63.6345416666667,60.45,21.3039814329072
"15","astral-magus_r10_l50_i50_trimal_02",0.914813278008299,1,0.174928754515355,65.4452697095436,61.85,21.3893072008216
"16","astral-magus_r10_l50_i50_trimal_auto",0.897676348547718,1,0.186161877980638,63.4511618257261,60.39,20.9286771037064
"17","astral-magus_r10_l50_i50_trimal_gappyout",0.887759336099585,1,0.201279139106757,63.0860995850622,60.33,21.5307435942973
"18","astral-magusexons_r10_l50_i50_b2_0",0.884647302904564,1,0.205537861685981,62.52,61.77,20.7662020830477
