"","mean_lpps_shal","mean_lpps_deep","mean_qss_shal","mean_qss_deep"
"astral-mafft_r10_l10_i10_b2_0",0.904,0.914,65.027,61.162
"astral-mafft_r10_l25_i25_b2_0",0.908,0.915,65.258,60.999
"astral-mafft_r10_l25_i50_b2_0",0.908,0.904,65.525,61.316
"astral-mafft_r10_l25_i75_b2_0",0.905,0.894,66.663,62.559
"astral-mafft_r10_l50_i25_b2_0",0.912,0.898,65.863,61.531
"astral-mafft_r10_l50_i50_b2_0",0.922,0.904,67.362,62.709
"astral-mafft_r10_l50_i50_b2_d",0.904,0.883,64.756,62.963
"astral-mafft_r10_l75_i25_b2_0",0.913,0.872,67.901,62.024
"astral-mafft_r10_l75_i75_b2_0",0.845,0.809,72.549,69.202
"astral-mafft_r25_l10_i10_b2_0",0.926,0.877,68.241,61.493
"astral-mafft_r25_l25_i25_b2_0",0.925,0.877,68.264,61.605
"astral-mafft_r25_l25_i50_b2_0",0.927,0.881,68.286,62.217
"astral-mafft_r25_l25_i75_b2_0",0.928,0.869,69.723,62.879
"astral-mafft_r25_l50_i25_b2_0",0.924,0.879,68.748,62.062
"astral-mafft_r25_l50_i50_b2_0",0.928,0.889,69.883,63.328
"astral-mafft_r25_l75_i25_b2_0",0.934,0.879,70.222,63.708
"astral-mafft_r25_l75_i75_b2_0",0.855,0.79,75.03,68.097
"astral-mafft_r50_l10_i10_b2_0",0.882,0.888,69.617,64.854
"astral-mafft_r50_l25_i25_b2_0",0.882,0.888,69.643,65.003
"astral-mafft_r50_l25_i50_b2_0",0.881,0.89,69.729,65.202
"astral-mafft_r50_l25_i75_b2_0",0.886,0.906,70.952,65.968
"astral-mafft_r50_l50_i25_b2_0",0.882,0.887,69.843,65.249
"astral-mafft_r50_l50_i50_b2_0",0.902,0.88,70.864,66.497
"astral-mafft_r50_l75_i25_b2_0",0.902,0.861,71.838,65.72
"astral-mafft_r50_l75_i75_b2_0",0.873,0.794,76.308,69.02
"astral-maffteinsi_r10_l50_i50_b2_0",0.915,0.908,66.991,63.462
"astral-mafftexons_r10_l50_i50_b2_0",0.913,0.875,63.122,62.931
"astral-mafftginsi_r10_l50_i50_b2_0",0.918,0.877,65.69,62.218
"astral-mafftlinsi_r10_l50_i50_b2_0",0.915,0.9,65.89,63.084
"astral-magus_r10_l10_i10_trimal_02",0.916,0.9,67.583,58.6
"astral-magus_r10_l10_i10_trimal_auto",0.906,0.881,62.705,59.854
"astral-magus_r10_l25_i25_trimal_02",0.917,0.905,67.64,58.731
"astral-magus_r10_l25_i25_trimal_auto",0.905,0.882,62.742,59.969
"astral-magus_r10_l25_i50_trimal_02",0.923,0.914,67.929,58.969
"astral-magus_r10_l25_i50_trimal_auto",0.909,0.893,63.245,60.953
"astral-magus_r10_l25_i75_trimal_02",0.922,0.914,67.981,61.763
"astral-magus_r10_l25_i75_trimal_auto",0.914,0.877,64.925,61.584
"astral-magus_r10_l50_i25_trimal_02",0.931,0.9,68.536,59.395
"astral-magus_r10_l50_i25_trimal_auto",0.925,0.874,63.846,60.311
"astral-magus_r10_l50_i50_b2_0",0.886,0.902,64.891,63.87
"astral-magus_r10_l50_i50_b2_d",0.903,0.869,64.197,62.795
"astral-magus_r10_l50_i50_trimal_02",0.937,0.893,68.451,61.582
"astral-magus_r10_l50_i50_trimal_auto",0.905,0.885,64.772,61.706
"astral-magus_r10_l50_i50_trimal_gappyout",0.904,0.856,64.471,60.904
"astral-magus_r10_l75_i25_trimal_02",0.93,0.883,68.48,62.931
"astral-magus_r10_l75_i25_trimal_auto",0.905,0.878,65.217,62.139
"astral-magus_r10_l75_i75_trimal_02",0.861,0.814,74.34,68.713
"astral-magus_r10_l75_i75_trimal_auto",0.861,0.798,72.845,69.033
"astral-magus_r50_l50_i50_b2_0",0.897,0.859,71.571,65.627
"astral-magus_r50_l50_i50_b2_d",0.882,0.857,69.18,65.015
"astral-magusexons_r10_l50_i50_b2_0",0.918,0.831,62.993,61.806
"astral-magusexons_r10_l50_i50_b2_d",0.901,0.86,63.605,62.517
"astral-magusexons_r25_l50_i50_b2_0",0.91,0.856,64.329,61.947
"astral-magusexons_r25_l50_i50_b2_d",0.89,0.884,66.062,62.343
